text,label
reign energy,FoodIconCupSoda
turkey sub,FoodIconSandwich
beef pot pie,FoodIconCookingPot
crunchy taco,FoodIconTaco
fish tempura plate,FoodIconFish
pumpkin gnocchi,FoodIconPasta
raisin bran,FoodIconWheat
opera cake,FoodIconCake
toast and jam,FoodIconCroissant
sweet earth burger,FoodIconVegan
dal makhani,FoodIconBean
oatmeal,FoodIconWheat
jungle juice,FoodIconMartini
korean doenjang jjigae,FoodIconSoup
cone station ice cream,FoodIconIceCream
welch's sparkling grape,FoodIconGrape
tombstone pizza,FoodIconPizza
kevita kombucha,FoodIconCupSoda
mousse cake,FoodIconCake
basket of fries,FoodIconFries
cereal variety,FoodIconWheat
turkey white bean soup,FoodIconCookingPot
hand roll,FoodIconSushi
pot roast,FoodIconCookingPot
new york style pizza,FoodIconPizza
taqueria fresh,FoodIconTaco
slush sonic,FoodIconCupSoda
chicken sandwich,FoodIconSandwich
red eye gravy ham,FoodIconHam
chili hot dog,FoodIconHotDog
flatbread line,FoodIconPizza
dessert bar selections,FoodIconCake
gyro line,FoodIconWrap
olive oil egg,FoodIconEggFried
side salad small,FoodIconSalad
orecchiette,FoodIconPasta
pear belle helene,FoodIconIceCreamBowl
lollipops,FoodIconLollipop
iconic protein,FoodIconProtein
blended beverage,FoodIconCupSoda
egg omelette,FoodIconEgg
zucchini ribbon salad,FoodIconSalad
bean salad,FoodIconSalad
millet,FoodIconWheat
gin and tonic,FoodIconMartini
yellowtail snapper,FoodIconFish
hotel soft serve machine,FoodIconDessert
three bean salad,FoodIconBean
turkey chili con carne,FoodIconCookingPot
veggie taco,FoodIconTaco
dessert options,FoodIconCake
cookies and cream pack,FoodIconCookie
roasted turkey breast,FoodIconDrumstick
poached cod,FoodIconFish
curry soup,FoodIconSoup
relish dog,FoodIconHotDog
deli platter,FoodIconHam
burger of the day,FoodIconBurger
foot long frank,FoodIconHotDog
oreos,FoodIconCookie
egg bite,FoodIconEgg
cranberry scone,FoodIconBread
brown sugar latte,FoodIconCupSoda
purple yam fries,FoodIconFries
truly,FoodIconBeer
jersey disco fry,FoodIconFries
cherry jam,FoodIconCherry
smoothie bar line,FoodIconCupSoda
blended drinks,FoodIconCupSoda
egg bar,FoodIconEgg
chicken breast,FoodIconChicken
tikka chicken,FoodIconChicken
assorted cereals,FoodIconWheat
taco fixings,FoodIconTaco
diet pepsi,FoodIconCupSoda
rice bowl station,FoodIconRiceBowl
wagyu beef steak grade a5,FoodIconBeef
chimichanga,FoodIconBurrito
rainbow trout,FoodIconFish
chicago dog,FoodIconHotDog
wet burrito red,FoodIconBurrito
café au lait,FoodIconCoffee
black quinoa,FoodIconWheat
yeast donut,FoodIconDonut
instant oatmeal,FoodIconWheat
individual nut pack,FoodIconNut
breakfast menu,FoodIconEgg
sausage egg cheese,FoodIconSandwich
raisins,FoodIconGrape
chicken cutlet breaded,FoodIconChicken
sour belts,FoodIconCandy
cinnamon pecans,FoodIconNut
sausage station,FoodIconHotDog
salad station,FoodIconSalad
morning bun cinnamon orange,FoodIconCroissant
taco fixings station,FoodIconTaco
shrimp tempura roll,FoodIconSushi
ice cream shop scoop cup,FoodIconIceCreamBowl
pasta arrabbiata,FoodIconPasta
bhatura fried bread,FoodIconBread
soup and bread,FoodIconSoup
little smokie,FoodIconHotDog
chomps venison stick,FoodIconProtein
cookies & cream,FoodIconCookie
envy apple,FoodIconApple
pretzel dog,FoodIconHotDog
turkey sandwich meat,FoodIconHam
fresh spring roll rice paper,FoodIconWrap
bigoli sardine,FoodIconPasta
hot cereal,FoodIconWheat
roasted chicken station,FoodIconChicken
pumpkin seed snack,FoodIconNut
al pastor taco,FoodIconTaco
sweet cherry,FoodIconCherry
apples,FoodIconApple
creamsicle bar,FoodIconIceCreamSandwich
cured meat board,FoodIconHam
cream filled donut,FoodIconDonut
home fries,FoodIconEgg
seafood roll station,FoodIconSandwich
chicken ramen,FoodIconRamen
granola bar,FoodIconProtein
salmon,FoodIconFish
taco time taco,FoodIconTaco
chicken breast fillet,FoodIconChicken
casein protein,FoodIconProtein
artisan croissant bakery,FoodIconCroissant
fun dip,FoodIconCandy
jersey milk,FoodIconMilk
birria,FoodIconTaco
hanger steak,FoodIconBeef
beef soup,FoodIconSoup
school milk,FoodIconMilk
cracker tray,FoodIconBread
araucana egg,FoodIconEgg
maple donut,FoodIconDonut
soup of the day,FoodIconSoup
enlightened ice cream sandwich,FoodIconIceCreamSandwich
spiked lemonade,FoodIconBeer
brewed coffee,FoodIconCoffee
latte,FoodIconCoffee
mushroom omelette,FoodIconEgg
cincinnati chili,FoodIconCookingPot
instant oatmeal,FoodIconWheat
flavored yogurt,FoodIconMilk
iranian egg mirza,FoodIconEgg
souvlaki station,FoodIconWrap
cold wrap,FoodIconWrap
jicama fries,FoodIconFries
garlic parmesan fries station,FoodIconFries
make your own taco,FoodIconTaco
dipped cone,FoodIconIceCream
chicken parm station,FoodIconChicken
fish stick pollock,FoodIconFish
carnitas taco,FoodIconTaco
soba,FoodIconRamen
toast bar,FoodIconBread
tostada,FoodIconTaco
papaya salad,FoodIconSalad
linguine station,FoodIconPasta
tajin peanuts,FoodIconNut
popcorn for one,FoodIconPopcorn
